Country Code,le_1990,le_2023,gdp_1990,gdp_2023,pop_1990,pop_2023,Country,OWID Region,Color
COM,55.62,66.777,3011.43451135872,3498.80327064529,444596,850387,Comoros,Africa,yellow
GUY,62.254,70.18,5074.43093463084,49315.1603107751,749894,826353,Guyana,South America,red
SLB,66.194,70.528,2352.4197487524,2534.02756338361,331435,800005,Solomon Islands,Oceania,magenta
MAC,76.3986829268293,83.1804878048781,55243.3259217146,104961.643485494,334950,678800,Macao,Asia,green
LUX,74.7754878048781,83.3585365853659,81020.6461629014,130491.299515711,381850,666430,Luxembourg,Europe,blue
SUR,62.088,73.631,17137.6509700556,19043.7052869285,412493,628886,Suriname,South America,red
MLT,76.0459268292683,83.5073170731707,18183.1872151072,59602.1008987235,354170,552747,Malta,Europe,blue
MDV,63.148,81.041,8907.11121983735,22286.9801703571,224762,525994,Maldives,Asia,green
CPV,63.869,76.059,1848.75865235574,9288.4021703944,375428,522331,Cape Verde,Africa,yellow
BRN,71.629,75.327,118163.683197804,76828.3998314969,255292,458949,Brunei,Asia,green
BLZ,69.569,73.566,8243.73265496349,12455.2960650024,183076,411106,Belize,North America,cyan
BHS,70.945,74.552,33062.5459044975,33105.603858971,275945,399440,Bahamas,North America,cyan
ISL,78.0363414634146,82.6073170731707,40118.1799324603,66940.5034884203,254826,393349,Iceland,Europe,blue
VUT,66.684,71.477,3101.68055095181,3118.39603259733,148063,320409,Vanuatu,Oceania,magenta
BRB,73.463,76.178,16976.7616479779,19224.4621182944,258582,282336,Barbados,North America,cyan
STP,60.707,69.718,3883.20429842266,5541.3016760535,122980,230871,Sao Tome and Principe,Africa,yellow
WSM,67.808,71.698,3990.92671294634,6304.34613688419,169042,216663,Samoa,Oceania,magenta
LCA,70.008,72.697,17222.0009717488,23403.4617661837,137857,179285,Saint Lucia,North America,cyan
KIR,61.018,66.473,2213.5395392814,3195.87039847415,74855,132530,Kiribati,Oceania,magenta
SYC,68.1073170731707,74.9585365853659,15478.8475444228,29468.9512755913,69507,119773,Seychelles,Africa,yellow
GRD,70.546,75.205,8889.36283867657,16946.473156154,99957,117081,Grenada,North America,cyan
FSM,63.722,67.198,3136.9514332942,3886.69657098366,100888,112630,Micronesia (country),Oceania,magenta
ABW,72.546,76.353,34579.220639762,40516.8085633136,62753,107359,Aruba,North America,cyan
VCT,70.647,71.23,7386.20299469957,18335.2120818044,111812,101323,Saint Vincent and the Grenadines,North America,cyan
ATG,73.602,77.598,21078.7855474879,28967.2556775267,63066,93316,Antigua and Barbuda,North America,cyan
AND,78.961,84.041,50036.3007757561,64631.2963909271,52597,80856,Andorra,Europe,blue
DMA,70.471,71.132,10409.117736709,17420.2512475009,69627,66510,Dominica,North America,cyan
BMU,73.952,82.309,79109.890649762,98041.688720843,57559,64698,Bermuda,North America,cyan
KNA,65.641,72.145,14333.8450022097,30409.4041094129,40432,46758,Saint Kitts and Nevis,North America,cyan
MHL,61.756,66.945,3905.58584884048,6786.69569336005,44629,38827,Marshall Islands,Oceania,magenta
PLW,62.79,69.269,17842.0858585382,15796.5402743459,15259,17727,Palau,Oceania,magenta
NRU,59.102,62.109,30546.3017969817,12462.8412884717,9622,11875,Nauru,Oceania,magenta
TUV,61.643,67.105,2984.28249367818,5812.39328977512,8798,9816,Tuvalu,Oceania,magenta
